"","PEDU1","PEDU2","POCC1","POCC2","PSES1","PI1","PI2","PI3","PS1","PS2","PS3","PS4","DE1","DE2","SELD1","SELD2","SELD3","SELD4","SELD5","SIM1","SIM2","SIM3","SIM4","ANXI1","ANXI2","ANXI3","POSS1","POSS2","POSS3","TMP1","TMP2","TMP3","TMP4","TAC1","TAC2","TAC3","TAC4","CENV1","CU1","CU2","ARES1","ARES2","ARES3","SCORE"
"11","Lower_Secondary","Elementary","Others","Housewife",2,5,5,5,4,3,4,4,3,"Short","< 2","> 4",4,1,5,5,5,5,5,3,2,3,"Yes","Yes","No",5,4,5,5,5,5,4,5,2,"Khmer","One_Shift","Maybe","Enough","Not_enough","3"
"12","Undergraduate","Undergraduate","Government_Officer","Government_Officer",3,4,4,5,4,3,2,3,3,"Far","2 to 4","> 4",4,3,5,5,5,3,5,2,4,1,"Yes","Yes","Yes",5,3,5,5,5,4,3,3,2,"Khmer","One_Shift","Enough","Enough","Maybe","3"
"13","Undergraduate","Upper_Secondary","Government_Officer","Farmer",3,5,4,5,4,4,5,5,4,"Moderate","2 to 4","> 4",5,5,5,5,4,5,5,1,1,1,"No","No","Yes",5,1,5,5,5,5,5,5,3,"Khmer","Fullday","Enough","Enough","Not_enough","3"
"14","Lower_Secondary","Lower_Secondary","Elders","Government_Officer",2,3,5,5,4,4,4,4,4,"Moderate","< 2","> 4",4,2,4,4,4,5,4,2,3,2,"Yes","Yes","Yes",4,2,4,4,4,4,4,4,2,"Khmer","Irregular","Not_enough","Not_enough","Not_enough","2"
"15","Illiteracy","Illiteracy","Unemployment","Others",1,2,2,2,1,1,1,1,3,"Far","< 2","Never",4,1,2,3,5,5,5,3,3,3,"No","No","No",5,1,5,5,3,3,3,3,3,"Khmer","Fullday","Enough","Enough","Enough","0"
"16","Elementary","Lower_Secondary","Farmer","Housewife",2,5,5,5,4,4,3,4,4,"Moderate","2 to 4","> 4",4,1,5,5,5,5,5,3,4,3,"Yes","Yes","Yes",4,2,5,5,5,5,5,5,2,"Khmer","Irregular","Enough","Enough","Enough","3"
"17","Illiteracy","Elementary","Farmer","Farmer",1,5,5,5,4,4,4,5,4,"Moderate","> 4","2 to 4",5,2,5,4,5,5,5,1,2,1,"No","No","No",4,2,5,5,4,5,4,5,3,"Khmer","Irregular","Enough","Enough","Enough","0"
"18","Upper_Secondary","Upper_Secondary","Farmer","Housewife",2,5,5,5,5,5,5,5,5,"Moderate","2 to 4","2 to 4",5,4,5,5,5,4,3,2,2,2,"Yes","No","Yes",5,3,5,5,4,4,5,5,3,"Khmer","Fullday","Maybe","Maybe","Maybe","3"
"19","Undergraduate","Elementary","Government_Officer","Business",3,2,3,5,3,2,1,2,2,"Far","2 to 4","> 4",3,2,4,3,2,4,1,3,3,5,"Yes","No","Yes",4,2,4,5,2,4,4,5,2,"Khmer","One_Shift","Enough","Enough","Not_enough","2"
"20","Lower_Secondary","Lower_Secondary","Farmer","Housewife",2,4,5,5,3,2,5,5,4,"Far","2 to 4","> 4",4,1,4,5,5,5,5,2,3,2,"Yes","Yes","Yes",4,3,5,5,5,5,5,5,2,"English","Irregular","Maybe","Enough","Maybe","1"
"21","Elementary","Elementary","Farmer","Others",1,5,5,5,4,4,4,4,4,"Far","< 2","> 4",5,1,2,5,5,5,4,2,2,1,"Yes","No","No",4,1,5,5,5,5,5,5,3,"Khmer","Fullday","Enough","Enough","Maybe","3"
"22","Upper_Secondary","Upper_Secondary","Farmer","Farmer",3,5,4,4,3,3,3,3,3,"Short","2 to 4","< 2",4,2,4,4,5,4,5,2,1,1,"Yes","Yes","Yes",4,1,5,5,5,5,5,5,3,"English","Fullday","Enough","Enough","Enough","3"
"23","Lower_Secondary","Lower_Secondary","Government_Officer","Business",2,4,5,5,5,3,5,5,5,"Moderate","< 2","> 4",5,2,5,5,5,5,5,3,5,5,"Yes","No","Yes",5,4,4,4,5,5,4,5,3,"Khmer","Irregular","Enough","Enough","Not_enough","2"
"24","Undergraduate","Others","Government_Officer","Housewife",3,4,4,4,4,5,5,5,4,"Moderate","2 to 4","< 2",5,1,5,5,5,5,5,1,1,1,"Yes","Yes","Yes",5,1,5,5,5,5,5,5,2,"Khmer","Irregular","Enough","Enough","Maybe","2"
"25","Upper_Secondary","Others","Government_Officer","Housewife",2,5,3,5,3,5,5,2,4,"Short","Never","< 2",1,3,1,5,5,3,5,2,3,2,"Yes","No","Yes",5,2,5,4,3,5,1,3,2,"Khmer","Irregular","Enough","Enough","Enough","1"
"26","Undergraduate","Undergraduate","Government_Officer","Government_Officer",3,4,4,4,4,4,4,4,4,"Moderate","< 2","2 to 4",4,4,4,4,4,4,4,3,4,4,"Yes","Yes","Yes",4,4,4,4,2,2,2,2,2,"Khmer","Fullday","Enough","Enough","Enough","0"
"27","Undergraduate","Elementary","Private_Sector","Farmer",1,4,4,4,3,2,4,3,3,"Far","2 to 4","2 to 4",5,2,4,3,4,4,4,2,2,2,"Yes","No","Yes",1,2,3,3,2,3,3,2,2,"Khmer","Irregular","Maybe","Maybe","Maybe","1"
"28","Lower_Secondary","Upper_Secondary","Government_Officer","Government_Officer",3,3,5,5,5,5,5,5,5,"Moderate","2 to 4","> 4",5,1,5,5,5,5,5,1,2,2,"No","No","Yes",5,1,5,5,5,5,5,5,3,"Khmer","Fullday","Enough","Enough","Enough","2"
"29","Undergraduate","Lower_Secondary","Private_Sector","Business",3,3,4,5,3,4,3,3,3,"Moderate","< 2","> 4",4,2,4,4,5,4,5,4,5,5,"Yes","Yes","No",4,2,4,4,4,5,2,5,2,"Khmer","One_Shift","Enough","Enough","Not_enough","2"
"30","Upper_Secondary","Elementary","Government_Officer","Business",3,3,4,5,3,2,4,4,4,"Moderate","2 to 4","> 4",4,2,3,3,4,4,4,3,4,3,"Yes","Yes","Yes",4,2,4,4,4,4,4,4,3,"Khmer","Fullday","Not_enough","Enough","Not_enough","2"
"31","Undergraduate","Illiteracy","Farmer","Housewife",2,5,5,5,3,5,4,4,4,"Short","2 to 4","> 4",4,1,5,5,5,5,4,1,3,1,"Yes","No","Yes",5,1,5,5,5,5,5,5,2,"Khmer","Fullday","Enough","Enough","Enough","3"
"32","Illiteracy","Illiteracy","Farmer","Farmer",1,5,5,5,5,5,5,5,3,"Far","Never","> 4",1,1,3,1,3,5,1,5,5,5,"Yes","No","Yes",5,1,5,5,5,5,5,5,1,"Khmer","Fullday","Not_enough","Not_enough","Not_enough","2"
"33","Elementary","Others","Others","Farmer",2,4,5,5,5,4,1,5,3,"Far","Never","> 4",5,2,3,2,3,5,4,3,4,4,"Yes","No","Yes",4,1,5,5,5,5,5,5,2,"Khmer","One_Shift","Not_enough","Not_enough","Not_enough","1"
"34","Undergraduate","Lower_Secondary","Government_Officer","Housewife",2,3,4,5,3,3,4,3,4,"Moderate","2 to 4","< 2",4,2,3,5,5,5,5,2,2,2,"Yes","No","Yes",4,2,5,5,5,5,4,4,2,"Khmer","Fullday","Not_enough","Enough","Not_enough","2"
"35","Elementary","Others","Others","Others",2,2,5,5,5,4,5,5,3,"Moderate","< 2","2 to 4",3,1,3,2,2,2,2,2,3,2,"Yes","No","Yes",4,5,5,5,5,5,5,5,2,"Khmer","One_Shift","Enough","Enough","Enough","0"
"36","Undergraduate","Elementary","Others","Housewife",2,4,3,3,3,4,3,3,4,"Moderate","< 2","< 2",3,2,3,2,3,4,2,5,4,3,"No","No","Yes",4,3,4,4,4,4,3,4,1,"Khmer","Irregular","Enough","Enough","Not_enough","0"
"37","Undergraduate","Upper_Secondary","Business","Business",3,5,5,4,4,5,4,4,5,"Moderate","2 to 4","> 4",4,1,4,5,5,5,5,2,2,2,"Yes","Yes","Yes",4,2,5,5,5,5,5,5,3,"Khmer","Irregular","Not_enough","Not_enough","Not_enough","3"
"38","Lower_Secondary","Elementary","Business","Housewife",3,5,4,5,2,4,4,3,5,"Moderate","< 2","2 to 4",2,2,4,4,3,5,4,4,3,3,"No","No","Yes",5,3,3,3,4,4,3,3,2,"Khmer","One_Shift","Enough","Not_enough","Maybe","0"
"39","Undergraduate","Upper_Secondary","Government_Officer","Business",2,4,5,5,4,5,4,4,4,"Short","< 2","> 4",5,5,3,3,4,3,3,3,4,3,"Yes","Yes","Yes",5,2,4,4,4,3,3,4,2,"Khmer","Fullday","Enough","Enough","Enough","1"
"40","Lower_Secondary","Elementary","Others","Housewife",2,5,5,5,5,5,5,5,3,"Moderate","< 2","< 2",3,2,4,3,5,5,4,2,2,4,"No","No","Yes",5,3,4,4,4,4,3,4,2,"Khmer","One_Shift","Enough","Not_enough","Maybe","0"
"41","Graduate","Undergraduate","Government_Officer","Government_Officer",3,4,5,5,4,3,3,3,4,"Short","Never","< 2",3,1,1,3,3,5,3,3,1,2,"Yes","Yes","Yes",3,2,2,3,3,1,2,2,3,"English","One_Shift","Enough","Enough","Not_enough","2"
"42","Illiteracy","Elementary","Farmer","Farmer",2,4,5,5,4,4,4,5,5,"Moderate","< 2","> 4",4,2,3,4,5,5,5,5,5,5,"No","No","Yes",5,2,5,5,5,5,5,5,2,"Khmer","Irregular","Enough","Enough","Enough","0"
"43","Graduate","Graduate","Government_Officer","Private_Sector",2,4,4,4,4,4,4,4,4,"Far","2 to 4","> 4",4,1,4,3,3,4,4,4,4,3,"Yes","Yes","Yes",3,3,3,3,3,3,3,3,2,"Khmer","Fullday","Maybe","Enough","Enough","2"
"44","Upper_Secondary","Lower_Secondary","Business","Business",3,1,4,4,3,3,3,3,2,"Moderate","< 2","< 2",3,2,4,2,3,4,3,3,4,5,"Yes","Yes","Yes",3,2,5,4,4,3,4,5,2,"Khmer","Irregular","Maybe","Enough","Not_enough","0"
"45","Undergraduate","Lower_Secondary","Business","Housewife",2,2,4,2,3,2,3,3,3,"Far","< 2","Never",4,1,3,4,3,3,4,3,3,3,"Yes","Yes","Yes",3,3,3,3,3,3,3,4,2,"Khmer","Fullday","Not_enough","Maybe","Not_enough","2"
"46","Elementary","Elementary","Farmer","Farmer",2,3,3,5,5,5,5,5,3,"Moderate","> 4","> 4",5,1,5,5,5,5,4,2,1,2,"Yes","Yes","Yes",5,2,5,5,5,5,5,5,2,"Khmer","Fullday","Enough","Enough","Not_enough","3"
"47","Graduate","Undergraduate","Government_Officer","Government_Officer",2,3,3,4,3,3,4,4,4,"Far","2 to 4","> 4",5,1,5,3,5,5,5,2,3,1,"Yes","Yes","Yes",4,1,4,4,4,4,3,4,2,"Khmer","Fullday","Maybe","Enough","Enough","2"
"48","Graduate","Undergraduate","Government_Officer","Government_Officer",2,3,3,4,3,3,4,4,4,"Far","2 to 4","> 4",5,1,5,3,5,5,5,2,3,1,"Yes","Yes","Yes",5,1,4,4,4,4,3,4,2,"Khmer","Fullday","Maybe","Enough","Enough","2"
"49","Lower_Secondary","Lower_Secondary","Business","Housewife",2,3,4,3,3,2,3,3,5,"Far","< 2","2 to 4",4,2,3,5,4,4,3,2,4,4,"Yes","No","Yes",4,1,4,4,5,4,4,4,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","2"
"50","Upper_Secondary","Elementary","Business","Business",3,4,5,5,5,5,4,4,5,"Short","< 2","> 4",3,3,4,5,5,4,5,2,2,3,"Yes","No","Yes",5,1,5,5,5,5,5,5,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","3"
"51","Upper_Secondary","Elementary","Farmer","Housewife",2,5,4,4,3,3,3,3,3,"Far","< 2","> 4",3,2,3,3,3,3,3,3,4,5,"Yes","No","Yes",5,1,3,4,5,5,5,5,3,"Khmer","One_Shift","Enough","Enough","Not_enough","2"
"52","Elementary","Elementary","Farmer","Farmer",2,4,5,5,2,4,5,4,3,"Moderate","< 2","> 4",5,2,5,4,5,5,5,3,2,4,"Yes","No","Yes",5,1,5,5,5,5,5,5,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","1"
"53","Illiteracy","Elementary","Farmer","Housewife",2,3,3,4,2,3,3,2,3,"Moderate","< 2","> 4",4,3,4,5,5,5,5,1,4,4,"Yes","No","Yes",4,2,4,4,4,4,4,4,2,"Khmer","Fullday","Enough","Not_enough","Not_enough","3"
"54","Elementary","Elementary","Farmer","Farmer",2,3,4,4,4,3,3,3,3,"Moderate","< 2","> 4",4,1,4,4,4,5,4,2,4,4,"Yes","No","Yes",5,1,5,5,5,5,4,3,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","2"
"55","Upper_Secondary","Lower_Secondary","Business","Farmer",2,3,4,4,3,4,4,5,3,"Far","< 2","< 2",4,3,4,4,4,3,4,3,3,4,"Yes","No","Yes",4,2,4,4,4,5,5,5,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","2"
"56","Elementary","Illiteracy","Unemployment","Housewife",2,3,4,4,2,2,3,3,3,"Moderate","< 2","< 2",3,4,3,3,4,4,4,2,3,4,"Yes","No","Yes",5,1,4,4,5,4,5,5,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","1"
"57","Illiteracy","Lower_Secondary","Business","Business",2,4,4,4,4,3,4,3,4,"Far","< 2","> 4",4,4,4,3,4,5,4,3,4,4,"Yes","No","No",4,1,4,4,4,5,5,5,3,"Khmer","One_Shift","Enough","Not_enough","Not_enough","3"
"58","Elementary","Elementary","Farmer","Farmer",2,2,5,5,3,5,5,5,5,"Far","< 2","> 4",3,2,3,3,4,4,5,2,2,4,"Yes","No","Yes",5,1,5,5,5,4,4,5,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","1"
"59","Elementary","Elementary","Farmer","Farmer",2,3,5,5,3,3,5,3,4,"Moderate","> 4","> 4",5,1,4,3,4,4,4,1,3,5,"Yes","No","Yes",4,1,4,4,4,4,4,4,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","3"
"60","Elementary","Illiteracy","Business","Housewife",2,2,5,5,3,5,5,5,4,"Moderate","< 2","> 4",5,2,4,4,5,5,5,2,3,4,"Yes","No","Yes",5,1,5,5,5,5,5,5,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","2"
"61","Upper_Secondary","Upper_Secondary","Farmer","Farmer",3,4,3,4,4,4,4,5,5,"Far","< 2","> 4",5,2,5,3,5,5,5,2,5,2,"Yes","No","No",4,1,5,5,5,5,5,5,3,"Khmer","One_Shift","Enough","Not_enough","Not_enough","2"
"62","Elementary","Elementary","Farmer","Farmer",2,4,4,4,2,4,5,4,3,"Moderate","< 2","> 4",4,2,5,4,5,5,5,1,4,4,"Yes","No","Yes",5,1,5,5,5,4,5,4,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","2"
"63","Upper_Secondary","Lower_Secondary","Farmer","Farmer",3,4,4,5,2,2,4,4,4,"Moderate","< 2","< 2",3,1,3,3,3,4,3,3,4,3,"Yes","No","Yes",3,3,4,4,4,4,3,4,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","1"
"64","Elementary","Elementary","Farmer","Housewife",2,5,5,5,5,5,3,5,1,"Moderate","< 2","2 to 4",5,4,5,4,5,5,4,2,3,3,"Yes","No","Yes",5,1,5,5,4,5,5,5,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","3"
"65","Lower_Secondary","Lower_Secondary","Farmer","Farmer",2,2,2,3,2,3,4,3,2,"Moderate","< 2","> 4",3,1,3,4,4,4,4,2,4,4,"Yes","Yes","Yes",5,1,5,4,5,5,3,3,2,"Khmer","Irregular","Enough","Not_enough","Not_enough","3"
"66","Elementary","Elementary","Elders","Farmer",2,4,5,5,5,5,4,5,4,"Moderate","< 2","< 2",3,1,5,4,4,4,4,2,4,3,"Yes","No","Yes",5,1,4,5,5,5,5,5,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","2"
"67","Lower_Secondary","Elementary","Business","Housewife",2,3,5,5,3,3,3,3,4,"Moderate","< 2","2 to 4",4,3,4,4,4,5,5,2,4,3,"Yes","Yes","Yes",5,1,5,5,5,5,5,4,2,"Khmer","One_Shift","Enough","Not_enough","Not_enough","3"
"68","Illiteracy","Elementary","Farmer","Housewife",2,3,4,4,3,3,3,4,3,"Far","< 2","> 4",3,3,3,3,3,3,3,3,3,3,"Yes","No","No",5,5,5,5,3,3,3,3,2,"Khmer","One_Shift","Not_enough","Not_enough","Enough","2"
"69","Elementary","Elementary","Farmer","Farmer",2,4,5,4,3,3,3,4,3,"Far","< 2","> 4",3,1,4,3,4,5,4,2,2,3,"Yes","No","Yes",5,1,5,5,4,4,4,4,2,"Khmer","One_Shift","Not_enough","Not_enough","Not_enough","3"
"70","Elementary","Elementary","Farmer","Housewife",3,4,5,4,4,4,5,5,5,"Far","< 2","> 4",2,2,5,3,5,5,5,3,5,2,"Yes","No","No",5,1,5,5,5,5,5,4,2,"Khmer","One_Shift","Not_enough","Not_enough","Not_enough","2"
"71","Upper_Secondary","Elementary","Farmer","Farmer",2,4,5,5,4,3,1,5,5,"Moderate","2 to 4","> 4",5,1,5,5,5,5,5,2,3,2,"Yes","Yes","Yes",5,1,4,5,5,5,5,5,3,"Khmer","One_Shift","Not_enough","Not_enough","Not_enough","3"
"72","Upper_Secondary","Upper_Secondary","Business","Housewife",2,4,4,4,5,5,3,3,5,"Moderate","Never","Never",4,1,5,5,5,5,4,4,4,3,"Yes","Yes","Yes",5,1,5,5,5,5,5,5,3,"English","Fullday","Enough","Enough","Enough","0"
"73","Undergraduate","Lower_Secondary","Farmer","Housewife",3,3,4,4,4,4,4,4,3,"Short","< 2","> 4",5,2,4,5,5,5,5,2,2,2,"Yes","Yes","Yes",4,2,5,5,5,4,4,5,3,"Khmer","Irregular","Enough","Enough","Enough","3"
"74","Upper_Secondary","Upper_Secondary","Others","Business",2,3,3,5,3,3,2,2,2,"Moderate","2 to 4","> 4",5,2,5,5,5,5,5,1,5,3,"Yes","No","No",5,1,5,5,5,5,5,5,3,"Khmer","Fullday","Enough","Enough","Not_enough","3"
"75","Upper_Secondary","Upper_Secondary","Farmer","Housewife",2,3,3,4,3,3,3,2,2,"Moderate","< 2","< 2",3,3,3,3,3,3,3,3,4,3,"Yes","No","Yes",3,2,3,3,3,4,4,4,3,"Khmer","Irregular","Enough","Enough","Enough","2"
"76","Lower_Secondary","Lower_Secondary","Farmer","Farmer",2,5,4,5,3,5,4,4,4,"Moderate","< 2","> 4",5,2,5,4,5,5,5,3,3,2,"Yes","No","Yes",5,3,5,5,5,5,5,5,3,"Khmer","Fullday","Enough","Not_enough","Not_enough","1"
"77","Illiteracy","Elementary","Farmer","Farmer",2,3,3,4,3,3,3,4,3,"Short","< 2","< 2",3,1,3,3,2,3,3,3,3,2,"Yes","No","No",3,2,3,3,4,5,3,2,2,"Khmer","One_Shift","Enough","Not_enough","Enough","1"
"78","Elementary","Lower_Secondary","Farmer","Farmer",2,5,5,5,4,3,4,5,5,"Far","< 2","> 4",5,1,5,4,5,5,5,2,3,3,"Yes","No","Yes",5,1,5,5,5,5,5,5,2,"Others","Fullday","Not_enough","Not_enough","Maybe","1"
"79","Lower_Secondary","Undergraduate","Farmer","Government_Officer",3,3,4,3,3,2,2,1,3,"Moderate","2 to 4","> 4",4,2,4,4,5,4,4,2,3,2,"Yes","No","No",4,1,5,5,4,5,5,5,2,"Khmer","Irregular","Not_enough","Enough","Not_enough","3"
"80","Lower_Secondary","Elementary","Farmer","Farmer",2,4,5,5,5,4,4,5,3,"Moderate","< 2","> 4",5,1,5,3,5,5,5,4,5,4,"Yes","No","Yes",5,1,5,5,5,5,5,5,3,"Khmer","Fullday","Enough","Enough","Not_enough","2"
"81","Elementary","Lower_Secondary","Farmer","Farmer",2,4,4,4,4,4,4,4,4,"Far","< 2","> 4",4,1,4,3,4,5,3,3,3,3,"Yes","No","No",4,1,5,5,5,5,5,5,2,"Khmer","Fullday","Enough","Enough","Maybe","1"
"82","Upper_Secondary","Upper_Secondary","Farmer","Housewife",2,4,4,4,4,4,4,4,4,"Moderate","< 2","> 4",4,2,5,3,4,5,5,2,5,3,"Yes","No","Yes",4,3,5,5,5,5,5,4,3,"Khmer","Fullday","Enough","Enough","Not_enough","0"
"83","Others","Others","Government_Officer","Government_Officer",2,3,2,3,2,3,3,3,4,"Moderate","< 2","< 2",3,1,2,3,3,3,3,3,4,4,"Yes","Yes","Yes",4,2,3,3,4,4,3,4,2,"Khmer","Irregular","Enough","Enough","Maybe","0"
"84","Undergraduate","Upper_Secondary","Government_Officer","Housewife",3,4,5,5,3,5,2,2,3,"Short","< 2","2 to 4",3,3,3,3,3,3,3,4,3,4,"Yes","Yes","Yes",4,3,5,4,5,5,4,4,2,"Khmer","Irregular","Enough","Enough","Not_enough","2"
"85","Elementary","Elementary","Farmer","Housewife",2,5,5,5,5,4,5,5,4,"Moderate","< 2","> 4",4,1,5,5,5,5,5,2,2,1,"Yes","No","Yes",4,2,5,5,5,4,4,5,3,"French","Irregular","Enough","Not_enough","Not_enough","1"
"86","Illiteracy","Illiteracy","Farmer","Farmer",2,2,3,2,2,1,1,1,3,"Far","< 2","> 4",3,2,5,4,5,5,5,2,2,4,"Yes","No","No",5,1,5,5,5,5,5,5,2,"Khmer","Irregular","Enough","Enough","Not_enough","2"
"87","Elementary","Elementary","Farmer","Housewife",2,4,5,4,4,4,4,3,3,"Moderate","2 to 4","> 4",4,1,4,4,5,5,4,3,4,3,"Yes","No","No",4,2,5,5,5,4,5,5,2,"Khmer","Irregular","Maybe","Maybe","Maybe","1"
"88","Undergraduate","Upper_Secondary","Government_Officer","Government_Officer",3,4,4,4,4,4,4,4,3,"Moderate","2 to 4","2 to 4",4,4,4,4,4,4,4,2,2,3,"Yes","Yes","Yes",4,4,4,4,4,4,4,4,2,"Khmer","Fullday","Not_enough","Enough","Not_enough","3"
"89","Undergraduate","Upper_Secondary","Government_Officer","Housewife",2,3,3,3,3,3,3,3,4,"Moderate","Never","2 to 4",1,4,2,3,2,2,3,4,3,4,"Yes","No","Yes",4,2,5,5,5,5,5,5,3,"Khmer","Irregular","Enough","Enough","Maybe","0"
"90","Illiteracy","Upper_Secondary","Business","Housewife",3,3,5,5,5,5,4,5,5,"Moderate","< 2","> 4",4,2,3,4,5,4,4,2,3,3,"Yes","No","Yes",4,2,4,4,4,4,3,4,2,"Khmer","Fullday","Maybe","Maybe","Enough","2"
"91","Undergraduate","Elementary","Government_Officer","Business",2,2,4,4,3,3,3,3,3,"Far","< 2","> 4",5,2,4,4,4,5,5,2,2,2,"No","No","Yes",3,2,4,4,4,4,3,4,2,"Khmer","Irregular","Not_enough","Not_enough","Enough","3"
"92","Elementary","Elementary","Farmer","Farmer",1,3,3,2,2,2,2,1,3,"Moderate","< 2","< 2",3,2,4,3,3,3,3,3,4,3,"Yes","No","Yes",3,1,3,3,3,3,3,4,2,"Khmer","Fullday","Not_enough","Enough","Not_enough","1"
"93","Lower_Secondary","Upper_Secondary","Business","Business",2,5,4,5,3,3,3,4,3,"Moderate","Never","Never",3,2,4,5,4,5,5,1,1,2,"Yes","Yes","Yes",4,2,4,4,4,5,4,4,2,"Khmer","Fullday","Maybe","Enough","Maybe","0"
"94","Lower_Secondary","Upper_Secondary","Business","Business",2,5,4,5,3,3,3,3,3,"Moderate","< 2","2 to 4",3,2,4,5,4,5,5,1,1,2,"Yes","Yes","Yes",4,2,4,4,4,5,4,4,2,"Khmer","Fullday","Maybe","Enough","Maybe","0"
"95","Upper_Secondary","Lower_Secondary","Farmer","Farmer",2,4,5,5,3,5,5,5,5,"Moderate","2 to 4","2 to 4",5,2,5,4,5,5,5,2,3,1,"Yes","No","Yes",5,1,5,5,5,5,5,5,2,"Khmer","Fullday","Enough","Enough","Enough","2"
"96","Upper_Secondary","Upper_Secondary","Business","Business",2,4,4,4,4,4,4,4,4,"Moderate","2 to 4","< 2",4,2,4,4,4,4,4,2,2,1,"Yes","No","Yes",5,5,5,5,5,5,5,5,3,"Khmer","Fullday","Enough","Enough","Enough","0"
"97","Lower_Secondary","Elementary","Farmer","Housewife",1,1,3,3,2,2,2,2,3,"Short","< 2","Never",2,3,3,4,3,3,3,2,5,5,"Yes","No","No",5,2,5,5,5,5,5,5,3,"French","Irregular","Enough","Not_enough","Maybe","0"
"98","Lower_Secondary","Elementary","Farmer","Housewife",1,1,3,3,3,3,3,3,3,"Short","< 2","Never",2,3,3,4,5,3,5,2,5,4,"Yes","No","Yes",5,2,5,5,5,5,5,5,3,"French","Irregular","Maybe","Maybe","Maybe","0"
"99","Lower_Secondary","Elementary","Farmer","Housewife",2,2,4,4,3,5,5,5,4,"Far","2 to 4","2 to 4",5,2,5,5,5,5,5,1,1,2,"Yes","No","Yes",5,2,5,5,4,4,5,5,3,"Khmer","Irregular","Enough","Enough","Enough","2"
